OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-09-09,57941,57941,3049,3049
2020-09-10,367,58308,19,3068
2020-09-11,362,58670,19,3087
2020-09-12,360,59030,18,3106
2020-09-13,368,59398,19,3126
2020-09-14,388,59786,20,3146
2020-09-15,413,60199,21,3168
2020-09-16,422,60621,22,3190
2020-09-17,431,61052,22,3213
2020-09-18,450,61502,23,3236
2020-09-19,460,61962,24,3261
2020-09-20,488,62450,25,3286
2020-09-21,502,62952,26,3313
2020-09-22,527,63479,27,3341
2020-09-23,543,64022,28,3369
2020-09-24,535,64557,28,3397
2020-09-25,530,65087,27,3425
2020-09-26,543,65630,28,3454
2020-09-27,551,66181,29,3483
2020-09-28,553,66734,29,3512
2020-09-29,578,67312,30,3542
2020-09-30,598,67910,31,3574
2020-10-01,599,68509,31,3605
2020-10-02,597,69106,31,3637
2020-10-03,596,69702,31,3668
2020-10-04,619,70321,32,3701
2020-10-05,646,70967,34,3735
2020-10-06,675,71642,35,3770
2020-10-07,700,72342,36,3807
2020-10-08,722,73064,38,3845
2020-10-09,722,73786,38,3883
