OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-03-06,1,1,13,13
2020-03-07,1,2,13,26
2020-03-08,2,4,26,53
2020-03-09,3,7,39,93
2020-03-10,5,12,66,159
2020-03-11,4,16,53,212
2020-03-12,5,21,66,279
2020-03-13,5,26,66,345
2020-03-14,6,32,79,425
2020-03-15,7,39,92,518
2020-03-16,9,48,119,637
2020-03-17,13,61,172,810
2020-03-18,14,75,185,996
2020-03-19,15,90,199,1195
2020-03-20,17,107,225,1421
2020-03-21,19,126,252,1674
2020-03-22,21,147,278,1953
2020-03-23,22,169,292,2245
2020-03-24,25,194,332,2577
2020-03-25,28,222,371,2949
2020-03-26,28,250,371,3321
2020-03-27,30,280,398,3720
2020-03-28,31,311,411,4131
2020-03-29,32,343,425,4557
2020-03-30,32,375,425,4982
2020-03-31,31,406,411,5394
2020-04-01,35,441,464,5859
2020-04-02,36,477,478,6337
2020-04-03,38,515,504,6842
2020-04-04,40,555,531,7373
2020-04-05,41,596,544,7918
2020-04-06,48,644,637,8556
2020-04-07,46,690,611,9167
2020-04-08,47,737,624,9791
2020-04-09,51,788,677,10469
2020-04-10,55,843,730,11199
2020-04-11,61,904,810,12010
2020-04-12,65,969,863,12873
2020-04-13,67,1036,890,13763
2020-04-14,69,1105,916,14680
2020-04-15,69,1174,916,15597
2020-04-16,72,1246,956,16553
