OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-03-06,1,1,13,13
2020-03-07,1,2,13,26
2020-03-08,2,4,26,52
2020-03-09,3,7,39,92
2020-03-10,5,12,66,158
2020-03-11,4,16,52,211
2020-03-12,5,21,66,278
2020-03-13,5,26,66,344
2020-03-14,6,32,79,423
2020-03-15,7,39,92,516
2020-03-16,9,48,119,635
2020-03-17,13,61,172,807
2020-03-18,14,75,185,993
2020-03-19,15,90,198,1192
2020-03-20,17,107,225,1417
2020-03-21,19,126,251,1668
2020-03-22,21,147,278,1946
2020-03-23,22,169,291,2238
2020-03-24,25,194,331,2569
2020-03-25,28,222,370,2940
2020-03-26,28,250,370,3311
2020-03-27,30,280,397,3708
2020-03-28,31,311,410,4119
2020-03-29,32,343,423,4542
2020-03-30,32,375,423,4966
2020-03-31,31,406,410,5377
2020-04-01,35,441,463,5840
2020-04-02,36,477,476,6317
2020-04-03,38,515,503,6820
2020-04-04,40,555,529,7350
2020-04-05,41,596,543,7893
2020-04-06,48,644,635,8529
2020-04-07,46,690,609,9138
2020-04-08,47,737,622,9761
2020-04-09,51,788,675,10436
2020-04-10,55,843,728,11165
2020-04-11,61,904,807,11973
2020-04-12,65,969,860,12833
2020-04-13,67,1036,887,13721
2020-04-14,69,1105,913,14635
2020-04-15,69,1174,913,15549
2020-04-16,72,1246,1004,16553
