OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-04-16,1246,1246,2907,2907
2020-04-17,75,1321,175,3082
2020-04-18,78,1399,182,3264
2020-04-19,77,1476,179,3444
2020-04-20,84,1560,196,3640
2020-04-21,89,1649,207,3847
2020-04-22,98,1747,228,4076
2020-04-23,109,1856,254,4330
2020-04-24,122,1978,284,4615
2020-04-25,139,2117,324,4939
2020-04-26,162,2279,378,5317
2020-04-27,181,2460,422,5740
2020-04-28,205,2665,478,6218
2020-04-29,233,2898,543,6762
2020-04-30,273,3171,637,7399
2020-05-01,307,3478,716,8115
2020-05-02,341,3819,795,8911
2020-05-03,375,4194,875,9786
2020-05-04,395,4589,921,10707
2020-05-05,410,4999,956,11664
2020-05-06,434,5433,1012,12677
2020-05-07,412,5845,961,13638
2020-05-08,443,6288,1033,14672
2020-05-09,465,6753,1085,15757
2020-05-10,485,7238,1131,16888
2020-05-11,502,7740,1171,18060
2020-05-12,508,8248,1185,19245
2020-05-13,500,8748,1166,20412
2020-05-14,497,9245,1159,21571
2020-05-15,485,9730,1131,22703
2020-05-16,491,10221,1145,23849
2020-05-17,512,10733,1194,25043
2020-05-18,528,11261,1232,26275
2020-05-19,528,11789,1232,27507
