OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-04-16,1246,1246,12645,12645
2020-04-17,75,1321,761,13406
2020-04-18,78,1399,791,14198
2020-04-19,77,1476,781,14979
2020-04-20,84,1560,852,15832
2020-04-21,89,1649,903,16735
2020-04-22,98,1747,994,17730
2020-04-23,109,1856,1106,18836
2020-04-24,122,1978,1238,20074
2020-04-25,139,2117,1410,21485
2020-04-26,162,2279,1644,23129
2020-04-27,181,2460,1823,24952
2020-04-28,205,2665,2080,27033
2020-04-29,233,2898,2364,29397
2020-04-30,273,3171,2770,32168
2020-05-01,307,3478,3091,35259
2020-05-02,341,3819,3439,38698
2020-05-03,375,4194,3805,42504
2020-05-04,395,4589,4008,46513
2020-05-05,410,4999,4161,50674
2020-05-06,434,5433,4404,55079
2020-05-07,412,5845,4181,59260
2020-05-08,443,6288,4488,63749
2020-05-09,465,6753,4685,68435
2020-05-10,485,7238,4922,73357
2020-05-11,502,7740,5094,78452
2020-05-12,508,8248,5121,83573
2020-05-13,500,8748,5074,88647
2020-05-14,497,9245,5044,93691
2020-05-15,485,9730,4922,98614
2020-05-16,491,10221,4983,103597
2020-05-17,512,10733,5153,108750
2020-05-18,528,11261,5049,113799
2020-05-19,528,11789,5358,119158
2020-05-20,568,12357,5764,124922
2020-05-21,534,12891,5419,130342
