OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-06-20,22964,22964,53582,53582
2020-06-21,228,23192,532,54114
2020-06-22,239,23431,557,54672
2020-06-23,247,23678,576,55248
2020-06-24,254,23932,592,55841
2020-06-25,256,24188,597,56438
2020-06-26,264,24452,616,57054
2020-06-27,265,24717,618,57673
2020-06-28,244,24961,569,58242
2020-06-29,253,25214,590,58832
2020-06-30,268,25482,625,59457
2020-07-01,284,25766,662,60120
2020-07-02,289,26055,674,60794
2020-07-03,297,26352,693,61487
2020-07-04,311,26663,725,62213
2020-07-05,326,26989,760,62974
2020-07-06,350,27339,816,63791
2020-07-07,350,27689,816,64607
2020-07-08,350,28039,816,65424
2020-07-09,352,28391,821,66245
2020-07-10,364,28755,849,67095
2020-07-11,397,29152,926,68021
2020-07-12,396,29548,924,68945
2020-07-13,412,29960,961,69906
2020-07-14,398,30358,928,70835
