OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-03-06,2,2,2,2
2020-03-07,4,6,4,6
2020-03-08,4,10,4,10
2020-03-09,5,15,5,15
2020-03-10,7,22,7,22
2020-03-11,9,31,9,31
2020-03-12,13,44,13,44
2020-03-13,16,60,16,60
2020-03-14,21,81,21,81
2020-03-15,28,109,28,109
2020-03-16,37,146,37,146
2020-03-17,44,190,44,190
2020-03-18,56,246,56,246
2020-03-19,73,319,73,319
2020-03-20,94,413,94,413
2020-03-21,123,536,123,536
2020-03-22,159,695,159,695
2020-03-23,202,897,202,897
2020-03-24,230,1127,230,1127
2020-03-25,267,1394,267,1394
