X,date,county,state,fips,cases,deaths
10,2020-01-26,Los Angeles,California,6037,0,0
15,2020-01-27,Los Angeles,California,6037,0,0
20,2020-01-28,Los Angeles,California,6037,0,0
25,2020-01-29,Los Angeles,California,6037,0,0
30,2020-01-30,Los Angeles,California,6037,0,0
35,2020-01-31,Los Angeles,California,6037,0,0
41,2020-02-01,Los Angeles,California,6037,0,0
48,2020-02-02,Los Angeles,California,6037,0,0
56,2020-02-03,Los Angeles,California,6037,0,0
64,2020-02-04,Los Angeles,California,6037,0,0
72,2020-02-05,Los Angeles,California,6037,0,0
81,2020-02-06,Los Angeles,California,6037,0,0
90,2020-02-07,Los Angeles,California,6037,0,0
99,2020-02-08,Los Angeles,California,6037,0,0
108,2020-02-09,Los Angeles,California,6037,0,0
117,2020-02-10,Los Angeles,California,6037,0,0
127,2020-02-11,Los Angeles,California,6037,0,0
137,2020-02-12,Los Angeles,California,6037,0,0
148,2020-02-13,Los Angeles,California,6037,0,0
159,2020-02-14,Los Angeles,California,6037,0,0
170,2020-02-15,Los Angeles,California,6037,0,0
181,2020-02-16,Los Angeles,California,6037,0,0
192,2020-02-17,Los Angeles,California,6037,0,0
204,2020-02-18,Los Angeles,California,6037,0,0
216,2020-02-19,Los Angeles,California,6037,0,0
229,2020-02-20,Los Angeles,California,6037,0,0
242,2020-02-21,Los Angeles,California,6037,0,0
256,2020-02-22,Los Angeles,California,6037,0,0
270,2020-02-23,Los Angeles,California,6037,0,0
284,2020-02-24,Los Angeles,California,6037,0,0
300,2020-02-25,Los Angeles,California,6037,0,0
317,2020-02-26,Los Angeles,California,6037,0,0
337,2020-02-27,Los Angeles,California,6037,1,0
357,2020-02-28,Los Angeles,California,6037,1,0
379,2020-02-29,Los Angeles,California,6037,2,0
402,2020-03-01,Los Angeles,California,6037,3,0
429,2020-03-02,Los Angeles,California,6037,4,0
463,2020-03-03,Los Angeles,California,6037,5,0
498,2020-03-04,Los Angeles,California,6037,7,0
537,2020-03-05,Los Angeles,California,6037,9,0
587,2020-03-06,Los Angeles,California,6037,11,0
662,2020-03-07,Los Angeles,California,6037,14,0
757,2020-03-08,Los Angeles,California,6037,17,0
871,2020-03-09,Los Angeles,California,6037,22,0
1003,2020-03-10,Los Angeles,California,6037,29,0
1169,2020-03-11,Los Angeles,California,6037,39,0
1375,2020-03-12,Los Angeles,California,6037,51,0
1635,2020-03-13,Los Angeles,California,6037,67,0
1952,2020-03-14,Los Angeles,California,6037,87,0
2331,2020-03-15,Los Angeles,California,6037,111,1
2765,2020-03-16,Los Angeles,California,6037,140,1
3246,2020-03-17,Los Angeles,California,6037,177,2
3799,2020-03-18,Los Angeles,California,6037,222,2
4459,2020-03-19,Los Angeles,California,6037,277,3
5234,2020-03-20,Los Angeles,California,6037,361,5
6155,2020-03-21,Los Angeles,California,6037,461,6
7189,2020-03-22,Los Angeles,California,6037,585,9
8332,2020-03-23,Los Angeles,California,6037,731,11
9572,2020-03-24,Los Angeles,California,6037,898,14
10941,2020-03-25,Los Angeles,California,6037,1099,18
12483,2020-03-26,Los Angeles,California,6037,1334,23
14151,2020-03-27,Los Angeles,California,6037,1602,28
15935,2020-03-28,Los Angeles,California,6037,1903,34
17825,2020-03-29,Los Angeles,California,6037,2250,42
19804,2020-03-30,Los Angeles,California,6037,2636,51
21878,2020-03-31,Los Angeles,California,6037,3043,61
24037,2020-04-01,Los Angeles,California,6037,3479,72
26261,2020-04-02,Los Angeles,California,6037,3930,85
28555,2020-04-03,Los Angeles,California,6037,4394,99
30910,2020-04-04,Los Angeles,California,6037,4867,113
33316,2020-04-05,Los Angeles,California,6037,5349,130
35759,2020-04-06,Los Angeles,California,6037,5828,148
38244,2020-04-07,Los Angeles,California,6037,6286,167
40782,2020-04-08,Los Angeles,California,6037,6753,188
43346,2020-04-09,Los Angeles,California,6037,7213,211
45941,2020-04-10,Los Angeles,California,6037,7662,237
48568,2020-04-11,Los Angeles,California,6037,8099,264
51227,2020-04-12,Los Angeles,California,6037,8534,296
53903,2020-04-13,Los Angeles,California,6037,8961,328
56592,2020-04-14,Los Angeles,California,6037,9454,360
59296,2020-04-15,Los Angeles,California,6037,9998,393
62015,2020-04-16,Los Angeles,California,6037,10603,429
64747,2020-04-17,Los Angeles,California,6037,11252,469
67494,2020-04-18,Los Angeles,California,6037,11943,511
70253,2020-04-19,Los Angeles,California,6037,12651,554
73020,2020-04-20,Los Angeles,California,6037,13373,596
75793,2020-04-21,Los Angeles,California,6037,14114,638
78573,2020-04-22,Los Angeles,California,6037,14862,680
81364,2020-04-23,Los Angeles,California,6037,15693,723
84164,2020-04-24,Los Angeles,California,6037,16535,767
86969,2020-04-25,Los Angeles,California,6037,17406,810
89783,2020-04-26,Los Angeles,California,6037,18303,853
92598,2020-04-27,Los Angeles,California,6037,19149,897
95427,2020-04-28,Los Angeles,California,6037,19940,939
98268,2020-04-29,Los Angeles,California,6037,20753,981
101114,2020-04-30,Los Angeles,California,6037,21548,1022
103965,2020-05-01,Los Angeles,California,6037,22326,1062
106826,2020-05-02,Los Angeles,California,6037,23125,1103
109691,2020-05-03,Los Angeles,California,6037,23958,1146
112561,2020-05-04,Los Angeles,California,6037,24763,1188
115439,2020-05-05,Los Angeles,California,6037,25569,1229
118319,2020-05-06,Los Angeles,California,6037,26332,1269
121208,2020-05-07,Los Angeles,California,6037,27136,1308
124110,2020-05-08,Los Angeles,California,6037,27930,1342
127017,2020-05-09,Los Angeles,California,6037,28741,1381
129928,2020-05-10,Los Angeles,California,6037,29573,1422
132839,2020-05-11,Los Angeles,California,6037,30413,1462
135749,2020-05-12,Los Angeles,California,6037,31172,1500
138661,2020-05-13,Los Angeles,California,6037,31953,1539
141579,2020-05-14,Los Angeles,California,6037,32769,1578
144500,2020-05-15,Los Angeles,California,6037,33608,1617
147424,2020-05-16,Los Angeles,California,6037,34455,1656
150353,2020-05-17,Los Angeles,California,6037,35339,1696
153284,2020-05-18,Los Angeles,California,6037,36248,1734
156220,2020-05-19,Los Angeles,California,6037,37165,1770
159166,2020-05-20,Los Angeles,California,6037,38122,1804
162116,2020-05-21,Los Angeles,California,6037,39077,1843
165069,2020-05-22,Los Angeles,California,6037,40042,1877
168027,2020-05-23,Los Angeles,California,6037,41061,1913
170990,2020-05-24,Los Angeles,California,6037,42181,1950
173955,2020-05-25,Los Angeles,California,6037,43363,1987
176920,2020-05-26,Los Angeles,California,6037,44534,2021
179886,2020-05-27,Los Angeles,California,6037,45695,2055
182862,2020-05-28,Los Angeles,California,6037,46852,2088
185839,2020-05-29,Los Angeles,California,6037,48038,2123
188823,2020-05-30,Los Angeles,California,6037,49251,2157
191808,2020-05-31,Los Angeles,California,6037,50490,2194